商品代碼,商品類別,等級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99907726,O13,N,惠生摸彩卷,,張,N,0596,,99907726,0,0,,,,,0,0,0,0,,0,0,0,0,0,Y,5,,,,,,,,,,0038,2025/8/1 09:46:52:43,0,,,,,,,,,,,2023/6/13 11:29:21:734,惠生物流,,0,,,,,,,,,,,,贈品(無成本),,,,,,,,,,,N,0
L2101081,P14,C,惠生高鈣保久乳飲品170ml-24入,,箱,N,1360,,4.71163E+12,1,0,,,,,1100,649.992,0,960,0,0,0,768,0,0,Y,5,0,0,N,0,,0,,0472,2025/9/25 17:32:59:102,0472,2026/4/28 15:30:22:284,0,99,99,,,1,,,0,0,,,惠生醫藥,,0,,2,,,,,,,,,,乳製品,,,0,-9999999999,,,,,N,,N,0
L21010810,P14,C,惠生高鈣保久乳飲品170ml-6入,,組,N,1360,,4.71163E+12,0,0,,,,,259,162.498,0,259,0,0,0,207,0,0,Y,5,0,0,N,0,,0,,0472,2025/9/25 17:48:59:55,0472,2026/4/28 15:30:22:284,0,99,99,,,1,,,0,0,,,惠生醫藥,,0,,2,,,,,,,,,,乳製品,,,0,-9999999999,,,,,N,,N,0
L210108100,P14,B,惠生高鈣保久乳飲品170ml-單罐,,罐,N,1360,,4.71163E+12,518,0,,,,,49,27.083,27.083,49,0,0,0,39,0,0,Y,5,0,0,N,0,,0,,0472,2025/9/25 17:49:56:437,0472,2026/4/28 15:30:22:284,0,99,99,,,1,,,0,0,,,惠生醫藥,,24,,0,,,,,,,,,,乳製品,,,0,-9999999999,,,,,Y,,N,0
O1301142,O13,N,惠生高鈣保久乳飲品170ml-試喝罐,,罐,N,1360,,,5,0,,,,,0,0,0,0,0,0,0,0,0,0,Y,5,0,0,N,0,,0,,0472,2025/9/30 17:19:27:163,0038,2025/10/3 10:17:07:252,0,99,99,,,1,,,0,0,,,惠生醫藥,,0,,,,,,,,,,,,贈品(無成本),,,0,-9999999999,,,,,N,,N,0
